Advanced Custom Fields|acf-field|advanced-custom-fields
Advanced Custom Fields|acf-field-group|advanced-custom-fields
Akeeba Backup|akeebabackupwp_config|akeebabackupwp
Akeeba Backup|akeebabackupwp_plugin_dir|akeebabackupwp
Astra Pro|astra_adv_header|astra-addon
Astra Pro|astra-advanced-hook|astra-addon
ATUM Inventory Management for WooCommerce|atum_supplier|atum-stock-manager-for-woocommerce
ATUM Inventory Management for WooCommerce|atum_purchase_order|atum-stock-manager-for-woocommerce
BNE Flyout|bne_flyout|bne-flyout
Easy Table of Contents|ez-toc-list|easy-table-of-contents
Easy Table of Contents|ez-toc-settings|easy-table-of-contents
Elementor|elementor_icons|elementor
Elementor|elementor_library|elementor
Elementor|elementor_font|elementor
Elementor|elementor_snippet|elementor
Elementor Pro|elementor-hf|elementor
Facebook for WooCommerce|wc_facebook_for_woocommerce_lifecycle_events|facebook-for-woocommerce
Facebook for WooCommerce|wc_facebook_background_product_sync_job_b23a1b3ebaebda00bf3c9a0a378b7ab8|facebook-for-woocommerce
Follow-Up Emails|follow_up_email|woocommerce-follow-up-emails
GDPR Cookie Consent|cookielawinfo|cookie-law-info
GenerateBlocks|gp_elements|generateblocks
Germanized for WooCommerce Pro|document_template|woocommerce-germanized
Give Donation|give_forms|give
Give Donation|give_payment|give
Groups Newsletters|campaign|groups-newsletters
Groups Newsletters|story|groups-newsletters
GTM4WP|gtm4wp-options|duracelltomi-google-tag-manager
Happyforms|happyform|happyforms-upgrade
Happyforms|happyforms-message|happyforms-upgrade
HurryTimer PRO|hurrytimer_countdown|hurrytimer
iThemes Security|itsec-dash-card|ithemes-security
iThemes Security|itsec-dashboard|ithemes-security
Kadence Conversions - Popups, slide-ins|kadence_conversions|kadence-conversions
Lazy Blocks|lazyblocks|lazy-blocks
LearnDash LMS|ld-notification|sfwd-lms
LearnDash LMS|sfwd-certificates|sfwd-lms
LearnDash LMS|sfwd-courses|sfwd-lms
LearnDash LMS|sfwd-lessons|sfwd-lms
LearnDash LMS|sfwd-topic|sfwd-lms
LearnDash LMS|sfwd-quiz|sfwd-lms
LearnDash LMS|sfwd-question|sfwd-lms
ListingPro Ads|lp-ads|listingpro-ads
ListingPro Plugin|price_plan|listingpro-plugin
ListingPro Reviews|lp-reviews|listingpro-reviews
Lottery for WooCommerce|lty_lottery_ticket|lottery-for-woocommerce
MailPoet|mailpoet_page|mailpoet
MC4WP|mc4wp-form|mailchimp-for-wp
Media Cleaner|wmpc-trash|media-cleaner
MemberPress|memberpresscoupon|memberpress
MemberPress|memberpressgroup|memberpress
MemberPress|memberpressproduct|memberpress
MemberPress|memberpressrule|memberpress
MemberPress|mepr-subscriptions|memberpress
MemberPress|mp-reminder|memberpress
Meta Box AIO|mb-relationship|meta-box-aio
Meta Box AIO|mb-taxonomy|meta-box-aio
Meta Box AIO|mb-post-type|meta-box-aio
Meta Box AIO|meta-box|meta-box-aio
MetaSlider|ml-slide|ml-slider
MetaSlider|ml-slider|ml-slider
MP3 Audio Player by Sonaar|sr_playlist|sonaar-music
Ninja Tables|ninja-table|ninja-tables
Oxygen|ct_template|oxygen
Page Builder Framework Premium Addon|wpbf_hooks|wpbf-premium
Piotnet Addons For Elementor Pro|pafe-form-database|piotnet-addons-for-elementor
Piotnet Addons For Elementor Pro|pafe-forms|piotnet-addons-for-elementor
Popup Maker|popup_theme|popup-maker
Popup Maker|popup|popup-maker
Porto Theme - Functionality|porto_builder|porto-functionality
Post SMTP|postman_sent_mail|post-smtp
Rank Math SEO|rank_math_schema|seo-by-rank-math
Real Cookie Banner|rcb-cookie|real-cookie-banner
Real Cookie Banner|rcb-blocker|real-cookie-banner
Real Cookie Banner|rcb-banner-link|real-cookie-banner
Schema|schema|schema
SEOPress|seopress_404|wp-seopress
SEOPress|seopress_schemas|wp-seopress
SiteGround Optimizer|sg_optimizer_jobs|sg-cachepress
Stachethemes Event Calendar|stec_cron|stachethemes_event_calendar
Stachethemes Event Calendar|stevent|stachethemes_event_calendar
Stachethemes Event Calendar|stec_calendar|stachethemes_event_calendar
The Events Calendar|tribe_organizer|the-events-calendar
The Events Calendar|tribe_venue|the-events-calendar
The Events Calendar|tribe-ea-record|the-events-calendar
The Plus Addons for Elementor|plus-mega-menu|theplus_elementor_addon
Uncanny Automator|uo-action|uncanny-automator
Uncanny Automator|uo-recipe|uncanny-automator
Uncanny Automator|uo-trigger|uncanny-automator
WhatsApp Chat by NinjaTeam|whatsapp-accounts|whatsapp-for-wordpress
Widgets for Google Reviews|grw_feed|wp-reviews-plugin-for-google
Wildrobot Frakt Integrasjon|logistra-robots-transport-agreements|logistra-woocommerce-integrasjon-fra-wildrobot-app
Wildrobot Frakt Integrasjon|wildrobot_logistra_transport_agreements|logistra-woocommerce-integrasjon-fra-wildrobot-app
WooCommerce|wc_order_status|woocommerce
WooCommerce Linked Variations by Iconic|cpt_iconic_wlv|iconic-woo-linked-variations
WooCommerce Tab Manager|wc_product_tab|woocommerce-tab-manager
WP Courseware|course_unit|wp-courseware
WP Extended Search|is_search_form|wp-extended-search
WP Social Ninja|wp_social_reviews|wp-social-reviews
WP Social Ninja|wpsr_social_chats|wp-social-reviews
WP Table Builder|wptb-tables|wp-table-builder
WPCodeBox|wpcb_snippet_folder|wpcodebox
WPCodeBox|wpcb_snippet_post|wpcodebox
WPForms Lite|wpforms|wpforms
YITH WooCommerce Dynamic Pricing and Discounts Premium|ywdpd_discount|init
YITH WooCommerce Gift Cards|gift_card|yith-woocommerce-gift-cards
Zion Builder|zion_template|zionbuilder
